Hotel,Region,ADR1,OCR1,ADR2,OCR2,ADR3,OCR3,ADR4,OCR4
1,Rural,88,3,76,8,74,11,78,17
2,Rural,79,5,98,9,72,7,54,14
3,Rural,84,2,67,4,64,9,98,13
4,Rural,79,3,88,4,77,3,66,15
5,Rural,68,1,75,8,58,14,80,21
6,Rural,82,0,95,4,85,9,90,16
7,Rural,92,4,93,8,87,13,92,20
8,Rural,58,0,54,9,67,19,84,25
9,Rural,84,1,87,9,94,6,92,19
10,Urban,112,1,137,11,114,5,137,23
11,Urban,104,1,176,8,97,6,146,18
12,Urban,95,3,131,5,135,6,137,11
13,Urban,128,1,113,10,125,3,126,9
14,Urban,96,2,152,10,145,5,153,10
15,Urban,98,0,170,9,129,3,148,16
16,Urban,119,2,121,8,128,6,147,18
