portfolio,asset,type,day1,day2,day3,day4,day5
1,1,Stock,0,0,0,0,1
1,2,Stock,0,0,0,0,0
1,3,Bond,0,0,0,1,1
1,4,Bond,0,1,1,1,1
1,5,Stock,0,0,1,1,1
1,6,Stock,0,0,1,1,1
1,7,Stock,0,1,1,1,1
2,8,Currency,1,1,0,0,0
2,9,Stock,0,0,0,1,1
2,10,Bond,1,1,0,1,1
2,11,Stock,1,0,1,1,1
3,12,Currency,1,0,1,0,1
3,13,Stock,0,1,0,0,0
3,14,Stock,0,1,0,0,0
4,15,Stock,1,0,1,0,0
4,16,Bond,1,1,1,1,0
4,17,Currency,0,0,1,1,1
4,18,Stock,0,1,0,0,0
4,19,Currency,0,0,0,1,1
5,20,Stock,1,1,0,1,1
5,21,Currency,1,1,1,1,1
5,22,Stock,1,0,0,1,1
5,23,Bond,1,1,0,1,1
5,24,Stock,0,0,1,1,1
